Campo,Data,Valore,Tipo,UdM,Tesi,Sorgente,Note,Year,Week
Kiwi 1,2021-07-13,9.27,Sostanza secca,%,T0,Slide 12,,2021,30
Kiwi 1,2021-07-13,10.50,Sostanza secca,%,T1,Slide 12,,2021,30
Kiwi 1,2021-07-13,10.90,Sostanza secca,%,T2,Slide 12,,2021,30
Kiwi 1,2021-08-04,12.30,Sostanza secca,%,T0,Slide 12,,2021,32
Kiwi 1,2021-08-04,13.10,Sostanza secca,%,T1,Slide 12,,2021,32
Kiwi 1,2021-08-04,13.10,Sostanza secca,%,T2,Slide 12,,2021,32
Kiwi 1,2021-08-04,48.20,Calibro del frutto,mm,T0,Slide 8,,2021,32
Kiwi 1,2021-08-04,49.20,Calibro del frutto,mm,T1,Slide 8,,2021,32
Kiwi 1,2021-08-04,49.30,Calibro del frutto,mm,T2,Slide 8,,2021,32
Kiwi 1,2021-08-04,99.30,Peso,g/frutto,T0,Slide 8,,2021,32
Kiwi 1,2021-08-04,115.00,Peso,g/frutto,T1,Slide 8,,2021,32
Kiwi 1,2021-08-04,94.80,Peso,g/frutto,T2,Slide 8,,2021,32
Kiwi 1,2021-08-04,-3.34,Potenziale idrico del fusto,bar,T0,Slide 8,,2021,32
Kiwi 1,2021-08-04,-3.84,Potenziale idrico del fusto,bar,T1,Slide 8,,2021,32
Kiwi 1,2021-08-04,-3.50,Potenziale idrico del fusto,bar,T2,Slide 8,,2021,32
Kiwi 1,2021-08-04,12.30,Sostanza secca,%,T0,Slide 8,,2021,32
Kiwi 1,2021-08-04,13.10,Sostanza secca,%,T1,Slide 8,,2021,32
Kiwi 1,2021-08-04,13.10,Sostanza secca,%,T2,Slide 8,,2021,32
Kiwi 1,2021-08-26,50.50,Calibro del frutto,mm,T0,Slide 11,,2021,36
Kiwi 1,2021-08-26,51.30,Calibro del frutto,mm,T1,Slide 11,,2021,36
Kiwi 1,2021-08-26,50.20,Calibro del frutto,mm,T2,Slide 11,,2021,36
Kiwi 1,2021-08-26,15.10,Sostanza secca,%,T0,Slide 12,,2021,36
Kiwi 1,2021-08-26,16.00,Sostanza secca,%,T1,Slide 12,,2021,36
Kiwi 1,2021-08-26,16.00,Sostanza secca,%,T2,Slide 12,,2021,36
Kiwi 1,2021-09-15,50.90,Calibro del frutto,mm,T0,Slide 9,,2021,38
Kiwi 1,2021-09-15,51.40,Calibro del frutto,mm,T1,Slide 9,,2021,38
Kiwi 1,2021-09-15,52.20,Calibro del frutto,mm,T2,Slide 9,,2021,38
Kiwi 1,2021-09-15,116.00,Peso,g/frutto,T0,Slide 9,,2021,38
Kiwi 1,2021-09-15,116.00,Peso,g/frutto,T1,Slide 9,,2021,38
Kiwi 1,2021-09-15,107.00,Peso,g/frutto,T2,Slide 9,,2021,38
Kiwi 1,2021-09-15,-3.17,Potenziale idrico del fusto,bar,T0,Slide 10,,2021,38
Kiwi 1,2021-09-15,-3.17,Potenziale idrico del fusto,bar,T1,Slide 10,,2021,38
Kiwi 1,2021-09-15,-3.34,Potenziale idrico del fusto,bar,T2,Slide 10,,2021,38
Kiwi 1,2021-09-15,16.10,Sostanza secca,%,T0,Slide 9,,2021,38
Kiwi 1,2021-09-15,17.60,Sostanza secca,%,T1,Slide 9,,2021,38
Kiwi 1,2021-09-15,17.10,Sostanza secca,%,T2,Slide 9,,2021,38
Kiwi 1,2021-09-15,16.10,Sostanza secca,%,T0,Slide 12,,2021,38
Kiwi 1,2021-09-15,17.60,Sostanza secca,%,T1,Slide 12,,2021,38
Kiwi 1,2021-09-15,17.10,Sostanza secca,%,T2,Slide 12,,2021,38
Kiwi 1,2021-09-29,17.30,Sostanza secca,%,T0,Slide 12,,2021,40
Kiwi 1,2021-09-29,18.20,Sostanza secca,%,T1,Slide 12,,2021,40
Kiwi 1,2021-09-29,18.60,Sostanza secca,%,T2,Slide 12,,2021,40
Kiwi 1,2021-10-13,51.80,Calibro del frutto,mm,T0,Slide 11,Raccolta commerciale,2021,42
Kiwi 1,2021-10-13,52.10,Calibro del frutto,mm,T1,Slide 11,Raccolta commerciale,2021,42
Kiwi 1,2021-10-13,51.80,Calibro del frutto,mm,T2,Slide 11,Raccolta commerciale,2021,42
Kiwi 1,2021-10-13,105.00,Colore,H angle,T0,Slide 13,Raccolta commerciale,2021,42
Kiwi 1,2021-10-13,102.00,Colore,H angle,T1,Slide 13,Raccolta commerciale,2021,42
Kiwi 1,2021-10-13,103.00,Colore,H angle,T2,Slide 13,Raccolta commerciale,2021,42
Kiwi 1,2021-10-13,4.07,Durezza,Kg FTA,T0,Slide 13,Raccolta commerciale,2021,42
Kiwi 1,2021-10-13,3.14,Durezza,Kg FTA,T1,Slide 13,Raccolta commerciale,2021,42
Kiwi 1,2021-10-13,4.05,Durezza,Kg FTA,T2,Slide 13,Raccolta commerciale,2021,42
Kiwi 1,2021-10-13,38.90,Produzione commerciale,kg/pianta,T0,Slide 11,Raccolta commerciale,2021,42
Kiwi 1,2021-10-13,35.90,Produzione commerciale,kg/pianta,T1,Slide 11,Raccolta commerciale,2021,42
Kiwi 1,2021-10-13,37.00,Produzione commerciale,kg/pianta,T2,Slide 11,Raccolta commerciale,2021,42
Kiwi 1,2021-10-13,12.70,RSR,° brix,T0,Slide 13,Raccolta commerciale,2021,42
